class,comment,terms,text,id,created_at,location,state,uid,friends_count,followers_count,user_created_at,statuses_count
1,,smok*,"Groggy, but at least dragged myself out of bed...coffee, smoke, e-mail to APA and be ready and at the Rio in less than two hours hopefully",1961971003,Fri May 29 17:19:24 +0000 2009,"Wasilla, Alaska",ak,43198959,9,6,Thu May 28 21:19:13 +0000 2009,2
-1,,cig*,I just read that a printer gives off more micro toxins than cigarettes. If that's really true I should sound like Marge Schott,1962383500,Fri May 29 17:57:46 +0000 2009,"iPhone 61.153983,-149.855501",ak,9866482,12,41,Thu Nov 01 22:42:27 +0000 2007,261
-1,,smok*,We tried the smoked salmon pizza @spenardrh and it was gobbled down quickly! Very interesting- flavorful yet not over-powereing.,1972746702,Sat May 30 16:48:35 +0000 2009,Alaska,ak,38601192,22,25,Fri May 08 03:57:04 +0000 2009,28
-1,,smok*,RT @JHSty: @BillSchulz Try this: Smokey Robinson & The Miracles-The Tears Of A Clown http://bit.ly/EFjjb  Hang in...Great Song!!!,1973489103,Sat May 30 18:14:53 +0000 2009,"iPhone 61.613846,-149.434631",ak,31639124,253,221,Thu Apr 16 04:12:50 +0000 2009,1185
-1,,smok*,My wifes family... skilled grillers. (see the smoke?) [pic] http://ff.im/-3f4FN,1916191201,Mon May 25 20:50:44 +0000 2009,"Bentonville, AR",ar,14178988,12767,13617,Wed Mar 19 19:06:07 +0000 2008,11445
1,smoking bowls,smok*,"echo valley outpost. may 27. supplies running low, smoking bowls with matches. plan to approach natives to trade blu-ray's for new lighter.",1936762502,Wed May 27 15:37:17 +0000 2009,Poughkeepsie,ar,22055759,71,68,Thu Feb 26 20:18:54 +0000 2009,131
0,reference to smoking but doesn't mean the person is smoking,cig*,"@3wordsaftersex you are special, turn light on, well that sucked, I'm bored now, Pass the Cigs, Damn your Fat",1944384503,Thu May 28 05:49:49 +0000 2009,"Little Rock, Arkansas",ar,36190178,75,73,Tue Apr 28 21:31:26 +0000 2009,96
-1,,smok*,"Today's creation: Wheat, turkey, cream cheese, smoked cheddar, honey mustard, spinach, carrots, sprouts, tomato, salt/pepper. TOASTEDBITCH",1949857803,Thu May 28 17:59:40 +0000 2009,"Fayetteville, AR",ar,29761953,53,17,Wed Apr 08 17:01:42 +0000 2009,53
1,,smok*,"@isweatbutter so were you ""drinkin' and smokin, a REAL jezabel"" while you where at the jersey shore?",1956389404,Fri May 29 04:46:29 +0000 2009,Arkansas,ar,16198789,257,207,Tue Sep 09 06:02:55 +0000 2008,1140
1,,smok*,"Back home in Fayetteville this weekend! Smoke & Barrel tonight w/friends Honky Suckle. Tomorrow morning (yes, morning) Jammin Java - 9-noon.",1961628403,Fri May 29 16:47:53 +0000 2009,"Fayetteville, Arkansas",ar,28124072,33,43,Wed Apr 01 15:18:43 +0000 2009,47
0,quotes,smok*,"""Expand your mind and your thoughts, smoke a blunt or something"" -Clint G",1966248602,Sat May 30 00:24:34 +0000 2009,Arkansas,ar,35040485,69,17,Fri Apr 24 21:06:20 +0000 2009,314
0,,cig*,RT @TPO_Hisself KNOW THY ENEMY: ACORN. BHO is THEIR MAN. far more than just a bunch of hoods buying votes with cigs. http://bit.ly/1198vA,1981274101,Sun May 31 15:48:27 +0000 2009,Arkansas,ar,26448190,1148,1006,Wed Mar 25 06:50:31 +0000 2009,205
1,,smok*,"@knuzzle, i smoked a little bit after i got off the phone with @kittimus and you, but now my bowl is gone. :-( wheres @stefanirosenow? calln",1982603702,Sun May 31 18:32:21 +0000 2009,"Hot Springs Village, Arkansas",ar,15738349,41,71,Tue Aug 05 16:49:12 +0000 2008,1123
-1,,smok*,"In recent news, my sister and I have decided that Leland Orser would make a smoking hot Vulcan.",1911288501,Mon May 25 10:19:02 +0000 2009,"Montgomery, AL",al,26634378,37,32,Thu Mar 26 00:01:28 +0000 2009,245
0,,smok*,Up at 1:00 sitting w/ my 2-yr-old watching Dora the Explorer. Don't know why he's up or what these writers were smokin'. Dora's psychadelic.,1909971403,Mon May 25 05:54:16 +0000 2009,"iPhone 34.829288,-87.689255",al,32414146,109,104,Fri Apr 17 13:59:32 +0000 2009,533
-1,,smok*,One last round in the hot tub before leaving the smokies...ahhhhhh.....,1911710801,Mon May 25 11:50:52 +0000 2009,"Birmingham, Al",al,12303152,121,170,Wed Jan 16 02:08:36 +0000 2008,153
-1,,smok*,We're having smoked ribs and corn on the cob for our memorial day cookout/in  banana nut bread & peach/mango crisp desserts.,1912651104,Mon May 25 14:20:02 +0000 2009,"daphne, alabama",al,14811766,26,37,Sat May 17 15:34:26 +0000 2008,821
-1,marijuana,smok*,I want to be that person who smokes tons of marijuana and leaves people 27 messages.,1913761603,Mon May 25 16:30:25 +0000 2009,"Prattville, Alabama",al,21316380,25,16,Thu Feb 19 17:02:50 +0000 2009,163
-1,,smok*,"Lap 32, Smoke is in 15th. #NASCAR",1913813203,Mon May 25 16:36:15 +0000 2009,Alabama,al,28041781,386,284,Wed Apr 01 03:31:41 +0000 2009,342
-1,,smok*,"Smoke in P11, lap 107, behind The Franchise. #NASCAR",1914822600,Mon May 25 18:26:11 +0000 2009,Alabama,al,28041781,385,283,Wed Apr 01 03:31:41 +0000 2009,369
1,cravings,cig*,Being on the lake drinking makes me want a cigarette. Will I ever get over cravings?,1915504301,Mon May 25 19:37:53 +0000 2009,"Wetumpka, Alabama",al,27780817,36,28,Tue Mar 31 01:27:34 +0000 2009,122
1,cigars,cig*,"Had an awesome Memorial Day.  Cookout, Mel Brooks, cigars, and Catchphrase!",1919282703,Tue May 26 02:37:33 +0000 2009,"Birmingham, Alabama",al,20210232,86,57,Fri Feb 06 01:56:13 +0000 2009,451
0,,"cig*,smok*","Dear cigar smoking dude, just because you're on vacation does not mean you're on vacation from decency. It's a playground, put it out, k?",1928883001,Tue May 26 22:34:59 +0000 2009,"Birmingham, AL",al,12090822,574,683,Thu Jan 10 23:53:11 +0000 2008,3885
1,piper,tobacco,"@CarltonMellick3 As a piper, I have had lots of tobacco flavors, but never have I thought to try orange.",1930441304,Wed May 27 01:16:00 +0000 2009,"Huntsville, AL",al,19823392,44,50,Sat Jan 31 17:39:13 +0000 2009,767
0,,smok*,"Ugh, sitting @ the bar waiting on my to go order. I'm so not used to smoke anymore. Shit #rejectprop8",1931107500,Wed May 27 02:20:41 +0000 2009,Alabama,al,20058814,182,90,Wed Feb 04 15:00:38 +0000 2009,1339
-1,pass smoker of weed,smok*,"@LittleMissTango Pss I curse sometimes..I drink,I look at hot girls,I have even smoked weed b4 and guess what??God still loves me.We are...",1932943802,Wed May 27 05:35:45 +0000 2009,Alabama,al,17815366,83,52,Tue Dec 02 19:09:21 +0000 2008,319
0,the person tweeting isn't the smoker,smok*,"Betty is retiring after 42 years at Food Giant. She teaches Sunday School, visits the nursing home & smoked the whole time we spoke",1939806302,Wed May 27 21:20:45 +0000 2009,"Mobile, AL",al,34529054,22,19,Thu Apr 23 04:17:11 +0000 2009,110
